age,gender,occupation,daily_screen_time_hours,phone_usage_before_sleep_minutes,sleep_duration_hours,stress_level,caffeine_intake_cups,physical_activity_minutes,notifications_received_per_day,mental_fatigue_score,Is_Poor_Sleep,Dataset_Type
21,1,6,1.39,86,7.35,1.72,1,73,84,2.3,0,TRAIN
42,0,4,1.41,100,7.05,1.72,3,54,232,1.54,0,TRAIN
32,0,2,2.54,80,8.43,4.41,2,24,220,3.75,0,TRAIN
26,1,2,1.52,21,8.5,2.03,4,36,295,1.0,0,TRAIN
42,1,6,7.47,60,8.98,9.67,4,17,153,9.35,0,TRAIN
57,0,2,5.25,62,4.28,4.6,2,47,201,4.28,0,TRAIN
42,1,0,2.96,110,8.65,4.5,3,101,199,4.38,0,TRAIN
36,0,6,2.88,1,5.26,4.13,1,81,258,4.52,0,TRAIN
59,0,6,2.28,80,8.84,4.26,1,107,239,4.62,0,TRAIN
59,0,4,5.29,12,5.23,4.67,2,55,295,3.74,0,TRAIN
28,1,6,9.47,80,5.89,10.0,3,32,100,10.0,0,TRAIN
46,0,3,4.51,107,8.06,6.64,0,119,161,5.52,0,TRAIN
45,0,7,5.75,107,8.94,7.08,1,87,258,6.24,0,TRAIN
54,1,6,6.4,72,5.47,7.55,4,41,109,6.96,0,TRAIN
49,0,2,5.61,106,6.86,8.02,2,25,70,8.78,0,TRAIN
37,0,5,2.66,78,8.47,4.54,3,99,79,4.64,0,TRAIN
38,1,0,3.97,90,5.93,4.05,1,17,239,4.22,0,TRAIN
53,1,0,6.24,98,8.31,9.65,4,76,261,8.56,0,TRAIN
23,0,2,7.74,115,8.63,9.72,0,47,239,10.0,0,TRAIN
27,1,2,7.54,73,7.5,9.85,3,14,176,9.5,0,TRAIN
56,1,7,1.51,35,6.68,1.25,4,113,209,2.38,0,TRAIN
55,0,0,1.83,40,4.24,1.85,4,95,163,1.94,0,TRAIN
53,0,0,9.75,35,5.86,10.0,2,83,75,10.0,0,TRAIN
56,0,3,2.39,11,4.22,3.1,3,57,179,3.71,0,TRAIN
44,0,5,3.06,108,8.45,5.88,1,50,236,6.51,0,TRAIN
28,1,1,8.73,94,6.1,10.0,4,30,45,10.0,0,TRAIN
34,0,7,1.73,111,7.29,5.82,1,114,205,6.38,0,TRAIN
32,0,1,5.69,14,8.99,6.5,0,7,273,6.27,0,TRAIN
56,0,3,4.88,114,8.76,9.47,2,36,298,9.82,0,TRAIN
21,0,5,8.49,9,5.8,10.0,4,39,262,10.0,0,TRAIN
33,1,3,4.13,5,7.26,4.99,1,56,197,5.75,0,TRAIN
55,1,6,4.3,119,4.51,8.02,4,110,291,9.38,0,TRAIN
53,0,0,9.92,31,8.21,10.0,3,3,269,9.39,0,TRAIN
43,1,5,6.62,3,5.75,9.28,1,118,293,10.0,0,TRAIN
36,1,5,4.69,20,8.82,5.93,3,55,120,6.19,0,TRAIN
